[09:18:30.588] [INFO] === Nilos Engine Initialization ===
[09:18:30.590] [INFO] Time system initialized
[09:18:30.590] [DEBUG] EventManager initialized
[09:18:30.591] [INFO] Event system initialized
[09:18:30.592] [INFO] Initializing window...
[09:18:30.824] [INFO] OpenGL Info:
[09:18:30.825] [INFO]   Vendor: NVIDIA Corporation
[09:18:30.825] [INFO]   Renderer: NVIDIA GeForce RTX 2080/PCIe/SSE2
[09:18:30.826] [INFO]   Version: 3.3.0 NVIDIA 581.57
[09:18:30.827] [INFO] Window initialized successfully
[09:18:30.828] [INFO] Window created: 1280x720
[09:18:30.828] [DEBUG] Input system initialized
[09:18:30.829] [INFO] Input system initialized
[09:18:30.829] [INFO] Initializing renderer...
[09:18:30.830] [INFO] Renderer initialized successfully
[09:18:30.830] [INFO] Renderer initialized
[09:18:30.830] [INFO] World initialized
[09:18:30.830] [INFO] ECS World initialized
[09:18:30.830] [INFO] Physics World initialized
[09:18:30.830] [INFO] Phong lighting configured: Directional + Ambient
[09:18:30.830] [INFO] Ground setup:
[09:18:30.831] [INFO]   Position: ({}, {}, {})0-20
[09:18:30.831] [INFO]   Scale: ({}, {}, {})100041000
[09:18:30.831] [INFO]   AABB should be: Min(-500, -4, -500) to Max(500, 0, 500)
[09:18:30.831] [INFO] Realistic physics scene created:
[09:18:30.831] [INFO]   - Ground: 1km² x 4m deep (static)
[09:18:30.831] [INFO]   - Basketball: 0.62kg at 5m (bounces 0.75)
[09:18:30.831] [INFO]   - Cubes: 10kg at 3-4m (bounces 0.3)
[09:18:30.831] [INFO] Demo scene created
[09:18:30.831] [INFO] === Engine Initialization Complete ===
[09:18:30.832] [INFO] === Nilos Engine Running ===
[09:18:30.832] [INFO] Controls:
[09:18:30.832] [INFO]   W/A/S/D - Move camera forward/left/backward/right
[09:18:30.832] [INFO]   Q/E - Move camera down/up
[09:18:30.832] [INFO]   Right Mouse Button + Move - Look around
[09:18:30.833] [INFO]   ESC - Exit
[09:18:30.833] [INFO] 
[09:18:30.833] [INFO] Starting main loop...
[09:18:30.834] [DEBUG] Mesh buffers initialized (VAO: 1)
[09:18:30.834] [DEBUG] Mesh buffers initialized (VAO: 2)
[09:18:30.836] [DEBUG] Mesh buffers initialized (VAO: 3)
[09:18:30.839] [DEBUG] Mesh buffers initialized (VAO: 4)
[09:18:31.593] [DEBUG] FPS: 48 | Frame time: 16.9491ms
[09:18:32.609] [DEBUG] FPS: 60 | Frame time: 16.6751ms
[09:18:33.609] [DEBUG] FPS: 59 | Frame time: 16.6758ms
[09:18:34.610] [DEBUG] FPS: 59 | Frame time: 16.7252ms
[09:18:35.626] [DEBUG] FPS: 59 | Frame time: 16.7924ms
[09:18:36.626] [DEBUG] FPS: 59 | Frame time: 16.7944ms
[09:18:37.643] [DEBUG] FPS: 60 | Frame time: 16.6832ms
[09:18:38.643] [DEBUG] FPS: 59 | Frame time: 16.5746ms
[09:18:39.643] [DEBUG] FPS: 51 | Frame time: 16.6153ms
[09:18:40.645] [DEBUG] FPS: 59 | Frame time: 17.3537ms
[09:18:41.660] [DEBUG] FPS: 60 | Frame time: 16.6836ms
[09:18:42.676] [DEBUG] FPS: 60 | Frame time: 16.6278ms
[09:18:43.676] [DEBUG] FPS: 59 | Frame time: 16.7679ms
[09:18:44.693] [DEBUG] FPS: 59 | Frame time: 16.7366ms
[09:18:45.710] [DEBUG] FPS: 60 | Frame time: 16.7969ms
[09:18:46.726] [DEBUG] FPS: 59 | Frame time: 16.7596ms
[09:18:47.726] [DEBUG] FPS: 59 | Frame time: 16.7684ms
[09:18:48.743] [DEBUG] FPS: 60 | Frame time: 16.6558ms
[09:18:49.743] [DEBUG] FPS: 59 | Frame time: 16.7486ms
[09:18:50.760] [DEBUG] FPS: 60 | Frame time: 16.6143ms
[09:18:51.760] [DEBUG] FPS: 59 | Frame time: 16.6259ms
[09:18:52.776] [DEBUG] FPS: 59 | Frame time: 16.8877ms
[09:18:53.793] [DEBUG] FPS: 59 | Frame time: 16.8873ms
[09:18:54.793] [DEBUG] FPS: 59 | Frame time: 17.0229ms
[09:18:55.794] [DEBUG] FPS: 59 | Frame time: 16.666ms
[09:18:56.810] [DEBUG] FPS: 60 | Frame time: 16.5138ms
[09:18:57.810] [DEBUG] FPS: 59 | Frame time: 16.4592ms
[09:18:58.810] [DEBUG] FPS: 59 | Frame time: 16.7595ms
[09:18:59.826] [DEBUG] FPS: 60 | Frame time: 16.7067ms
[09:19:00.827] [DEBUG] FPS: 57 | Frame time: 16.6054ms
[09:19:01.843] [DEBUG] FPS: 60 | Frame time: 16.7292ms
[09:19:02.860] [DEBUG] FPS: 60 | Frame time: 16.6618ms
[09:19:03.860] [DEBUG] FPS: 59 | Frame time: 16.866ms
[09:19:04.861] [DEBUG] FPS: 59 | Frame time: 17.0256ms
[09:19:05.877] [DEBUG] FPS: 60 | Frame time: 16.6356ms
[09:19:06.877] [DEBUG] FPS: 59 | Frame time: 16.7054ms
[09:19:07.877] [DEBUG] FPS: 59 | Frame time: 16.8424ms
[09:19:08.878] [DEBUG] FPS: 59 | Frame time: 17.7084ms
[09:19:09.894] [DEBUG] FPS: 56 | Frame time: 17.4672ms
[09:19:10.910] [DEBUG] FPS: 60 | Frame time: 17.0006ms
[09:19:11.927] [DEBUG] FPS: 60 | Frame time: 16.6569ms
[09:19:12.927] [DEBUG] FPS: 59 | Frame time: 16.7228ms
[09:19:13.943] [DEBUG] FPS: 59 | Frame time: 16.7039ms
[09:19:14.960] [DEBUG] FPS: 60 | Frame time: 16.7668ms
[09:19:15.960] [DEBUG] FPS: 59 | Frame time: 16.7974ms
[09:19:16.977] [DEBUG] FPS: 60 | Frame time: 16.7591ms
[09:19:17.993] [DEBUG] FPS: 60 | Frame time: 16.6816ms
[09:19:18.993] [DEBUG] FPS: 59 | Frame time: 16.7537ms
[09:19:19.994] [DEBUG] FPS: 59 | Frame time: 16.3736ms
[09:19:20.994] [DEBUG] FPS: 59 | Frame time: 16.8611ms
[09:19:22.010] [DEBUG] FPS: 60 | Frame time: 16.7385ms
[09:19:23.010] [DEBUG] FPS: 59 | Frame time: 16.9747ms
[09:19:24.011] [DEBUG] FPS: 59 | Frame time: 16.7933ms
[09:19:25.027] [DEBUG] FPS: 60 | Frame time: 16.8736ms
[09:19:26.043] [DEBUG] FPS: 60 | Frame time: 16.6427ms
[09:19:27.044] [DEBUG] FPS: 59 | Frame time: 16.8276ms
[09:19:28.060] [DEBUG] FPS: 60 | Frame time: 16.7044ms
[09:19:29.077] [DEBUG] FPS: 60 | Frame time: 16.6765ms
[09:19:30.077] [DEBUG] FPS: 59 | Frame time: 16.7453ms
[09:19:31.094] [DEBUG] FPS: 60 | Frame time: 16.7349ms
[09:19:32.111] [DEBUG] FPS: 59 | Frame time: 17.0476ms
[09:19:33.111] [DEBUG] FPS: 59 | Frame time: 16.9828ms
[09:19:34.127] [DEBUG] FPS: 60 | Frame time: 16.8521ms
[09:19:35.144] [DEBUG] FPS: 60 | Frame time: 16.7223ms
[09:19:36.144] [DEBUG] FPS: 59 | Frame time: 16.7671ms
[09:19:37.160] [DEBUG] FPS: 60 | Frame time: 16.9023ms
[09:19:38.177] [DEBUG] FPS: 60 | Frame time: 16.7923ms
[09:19:39.177] [DEBUG] FPS: 59 | Frame time: 16.651ms
[09:19:40.194] [DEBUG] FPS: 60 | Frame time: 16.821ms
[09:19:41.210] [DEBUG] FPS: 55 | Frame time: 16.8091ms
[09:19:42.210] [DEBUG] FPS: 59 | Frame time: 16.74ms
[09:19:43.227] [DEBUG] FPS: 59 | Frame time: 16.7915ms
[09:19:44.244] [DEBUG] FPS: 60 | Frame time: 16.6317ms
[09:19:45.244] [DEBUG] FPS: 59 | Frame time: 16.6575ms
[09:19:46.244] [DEBUG] FPS: 59 | Frame time: 16.6382ms
[09:19:47.260] [DEBUG] FPS: 60 | Frame time: 16.6736ms
[09:19:48.260] [DEBUG] FPS: 59 | Frame time: 16.4804ms
[09:19:49.261] [DEBUG] FPS: 59 | Frame time: 16.8797ms
[09:19:50.277] [DEBUG] FPS: 60 | Frame time: 16.6711ms
[09:19:51.277] [DEBUG] FPS: 59 | Frame time: 16.6071ms
[09:19:52.278] [DEBUG] FPS: 59 | Frame time: 17.0482ms
[09:19:53.294] [DEBUG] FPS: 60 | Frame time: 16.4944ms
[09:19:54.294] [DEBUG] FPS: 59 | Frame time: 16.962ms
[09:19:55.310] [DEBUG] FPS: 60 | Frame time: 16.2751ms
[09:19:56.311] [DEBUG] FPS: 59 | Frame time: 16.6904ms
[09:19:57.311] [DEBUG] FPS: 59 | Frame time: 16.762ms
[09:19:58.311] [DEBUG] FPS: 59 | Frame time: 17.0296ms
[09:19:59.327] [DEBUG] FPS: 60 | Frame time: 16.5988ms
[09:20:00.328] [DEBUG] FPS: 59 | Frame time: 16.9525ms
[09:20:01.345] [DEBUG] FPS: 59 | Frame time: 17.1423ms
[09:20:02.361] [DEBUG] FPS: 60 | Frame time: 16.8488ms
[09:20:03.378] [DEBUG] FPS: 59 | Frame time: 16.8513ms
[09:20:04.394] [DEBUG] FPS: 60 | Frame time: 16.6897ms
[09:20:05.411] [DEBUG] FPS: 60 | Frame time: 16.7741ms
[09:20:06.411] [DEBUG] FPS: 59 | Frame time: 16.7282ms
[09:20:07.412] [DEBUG] FPS: 59 | Frame time: 16.9298ms
[09:20:08.428] [DEBUG] FPS: 60 | Frame time: 16.8314ms
[09:20:09.444] [DEBUG] FPS: 60 | Frame time: 16.6935ms
[09:20:10.461] [DEBUG] FPS: 59 | Frame time: 16.7464ms
[09:20:11.461] [DEBUG] FPS: 59 | Frame time: 16.7844ms
[09:20:12.461] [DEBUG] FPS: 59 | Frame time: 16.705ms
[09:20:13.477] [DEBUG] FPS: 60 | Frame time: 16.6305ms
[09:20:14.494] [DEBUG] FPS: 59 | Frame time: 16.6985ms
[09:20:15.494] [DEBUG] FPS: 59 | Frame time: 16.5272ms
[09:20:16.494] [DEBUG] FPS: 59 | Frame time: 16.7096ms
[09:20:17.494] [DEBUG] FPS: 59 | Frame time: 16.681ms
[09:20:18.511] [DEBUG] FPS: 60 | Frame time: 16.689ms
[09:20:19.511] [DEBUG] FPS: 59 | Frame time: 16.7077ms
[09:20:20.513] [DEBUG] FPS: 59 | Frame time: 17.8016ms
[09:20:21.528] [DEBUG] FPS: 60 | Frame time: 16.5885ms
[09:20:22.544] [DEBUG] FPS: 60 | Frame time: 16.6545ms
[09:20:23.544] [DEBUG] FPS: 59 | Frame time: 16.7054ms
[09:20:24.561] [DEBUG] FPS: 60 | Frame time: 16.6783ms
[09:20:25.578] [DEBUG] FPS: 59 | Frame time: 16.7059ms
[09:20:26.595] [DEBUG] FPS: 59 | Frame time: 17.0785ms
[09:20:27.611] [DEBUG] FPS: 60 | Frame time: 16.9263ms
[09:20:28.628] [DEBUG] FPS: 60 | Frame time: 16.6507ms
[09:20:29.628] [DEBUG] FPS: 59 | Frame time: 16.6897ms
[09:20:30.644] [DEBUG] FPS: 59 | Frame time: 16.8016ms
[09:20:31.661] [DEBUG] FPS: 60 | Frame time: 16.7478ms
[09:20:32.661] [DEBUG] FPS: 59 | Frame time: 16.768ms
[09:20:33.678] [DEBUG] FPS: 59 | Frame time: 16.8577ms
[09:20:34.694] [DEBUG] FPS: 60 | Frame time: 16.6223ms
[09:20:35.695] [DEBUG] FPS: 59 | Frame time: 16.9067ms
[09:20:36.711] [DEBUG] FPS: 60 | Frame time: 16.8756ms
[09:20:37.728] [DEBUG] FPS: 59 | Frame time: 16.8074ms
[09:20:38.744] [DEBUG] FPS: 60 | Frame time: 16.5458ms
[09:20:39.745] [DEBUG] FPS: 56 | Frame time: 17.3192ms
[09:20:40.745] [DEBUG] FPS: 59 | Frame time: 16.6845ms
[09:20:41.761] [DEBUG] FPS: 60 | Frame time: 16.7137ms
[09:20:42.778] [DEBUG] FPS: 59 | Frame time: 16.747ms
[09:20:43.794] [DEBUG] FPS: 60 | Frame time: 16.6307ms
[09:20:44.795] [DEBUG] FPS: 59 | Frame time: 16.7014ms
[09:20:45.811] [DEBUG] FPS: 59 | Frame time: 16.7494ms
[09:20:46.828] [DEBUG] FPS: 60 | Frame time: 16.5349ms
[09:20:47.828] [DEBUG] FPS: 59 | Frame time: 16.8521ms
[09:20:48.829] [DEBUG] FPS: 59 | Frame time: 16.8232ms
[09:20:49.845] [DEBUG] FPS: 60 | Frame time: 16.7366ms
[09:20:50.862] [DEBUG] FPS: 59 | Frame time: 17.3901ms
[09:20:51.878] [DEBUG] FPS: 60 | Frame time: 16.7611ms
[09:20:52.895] [DEBUG] FPS: 60 | Frame time: 16.7231ms
[09:20:53.895] [DEBUG] FPS: 59 | Frame time: 16.9561ms
[09:20:54.911] [DEBUG] FPS: 60 | Frame time: 16.8373ms
[09:20:55.928] [DEBUG] FPS: 59 | Frame time: 16.9111ms
[09:20:56.945] [DEBUG] FPS: 60 | Frame time: 16.8674ms
[09:20:57.961] [DEBUG] FPS: 60 | Frame time: 16.6159ms
[09:20:58.978] [DEBUG] FPS: 59 | Frame time: 16.7711ms
[09:20:59.995] [DEBUG] FPS: 60 | Frame time: 16.7143ms
[09:21:00.995] [DEBUG] FPS: 59 | Frame time: 16.6773ms
[09:21:02.011] [DEBUG] FPS: 60 | Frame time: 16.6544ms
[09:21:03.028] [DEBUG] FPS: 59 | Frame time: 16.7632ms
[09:21:04.029] [DEBUG] FPS: 59 | Frame time: 16.8638ms
[09:21:05.045] [DEBUG] FPS: 60 | Frame time: 16.5618ms
[09:21:06.045] [DEBUG] FPS: 59 | Frame time: 17.2548ms
[09:21:07.061] [DEBUG] FPS: 60 | Frame time: 16.5162ms
[09:21:08.062] [DEBUG] FPS: 59 | Frame time: 17.1083ms
[09:21:09.078] [DEBUG] FPS: 60 | Frame time: 16.3234ms
[09:21:10.078] [DEBUG] FPS: 59 | Frame time: 16.737ms
[09:21:11.095] [DEBUG] FPS: 59 | Frame time: 16.9969ms
[09:21:12.112] [DEBUG] FPS: 60 | Frame time: 16.7167ms
[09:21:13.112] [DEBUG] FPS: 59 | Frame time: 16.3843ms
[09:21:14.112] [DEBUG] FPS: 59 | Frame time: 16.8104ms
[09:21:15.128] [DEBUG] FPS: 60 | Frame time: 16.8653ms
[09:21:16.145] [DEBUG] FPS: 60 | Frame time: 16.8059ms
[09:21:17.162] [DEBUG] FPS: 60 | Frame time: 16.769ms
[09:21:18.178] [DEBUG] FPS: 60 | Frame time: 16.6512ms
[09:21:19.180] [DEBUG] FPS: 59 | Frame time: 17.5061ms
[09:21:20.196] [DEBUG] FPS: 60 | Frame time: 17.2545ms
[09:21:21.212] [DEBUG] FPS: 60 | Frame time: 16.8673ms
[09:21:22.228] [DEBUG] FPS: 60 | Frame time: 16.5499ms
[09:21:23.228] [DEBUG] FPS: 59 | Frame time: 16.7056ms
[09:21:24.228] [DEBUG] FPS: 59 | Frame time: 16.7806ms
[09:21:25.245] [DEBUG] FPS: 59 | Frame time: 16.8073ms
[09:21:26.245] [DEBUG] FPS: 59 | Frame time: 16.9147ms
[09:21:27.262] [DEBUG] FPS: 60 | Frame time: 16.7911ms
[09:21:28.262] [DEBUG] FPS: 59 | Frame time: 16.8885ms
[09:21:29.278] [DEBUG] FPS: 60 | Frame time: 16.6846ms
[09:21:30.278] [DEBUG] FPS: 59 | Frame time: 16.5215ms
[09:21:31.295] [DEBUG] FPS: 60 | Frame time: 16.6854ms
